Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;06;01;04;00;14.74;82.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.15;24.78;11.30;37.23;14.26;47.05;9.72
2019;06;01;05;00;14.01;83.00;1023.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.08;69.44;10.46;63.43;13.83;38.66;8.28
2019;06;01;06;00;13.20;85.00;1023.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.25;0.00;1.14;161.57;6.38;73.61;13.61;37.48;5.40
2019;06;01;07;00;13.29;86.00;1023.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;74.76;1.02;225.00;3.22;63.43;13.25;47.20;3.60
2019;06;01;08;00;14.63;80.00;1023.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;229.62;1.61;26.57;2.90;7.13;12.50;48.50;9.00
2019;06;01;09;00;16.43;72.00;1022.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;392.49;5.19;33.69;6.49;33.69;11.97;43.78;8.28
2019;06;01;10;00;18.19;63.00;1022.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;548.24;7.20;36.87;8.59;33.02;11.59;36.16;8.28
2019;06;01;11;00;19.78;58.00;1022.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;684.41;7.70;37.41;8.59;33.02;12.23;42.61;9.00
2019;06;01;12;00;21.43;49.00;1022.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;790.32;7.90;30.07;8.85;26.57;12.54;39.17;9.36
2019;06;01;13;00;22.70;44.00;1021.80;0.00;0.00;0.00;0.00;3.00;10.00;0.00;0.00;60.00;852.62;8.21;37.87;8.89;31.76;13.48;34.11;10.08
2019;06;01;14;00;23.85;39.00;1021.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.09;872.20;8.71;38.29;9.59;34.29;13.53;25.20;10.44
2019;06;01;15;00;25.08;35.00;1020.70;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;60.00;862.41;5.86;47.49;5.60;45.00;3.96;360.00;9.00
2019;06;01;16;00;25.86;34.00;1020.30;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;59.43;794.77;7.10;59.53;6.79;57.99;4.02;10.30;8.64
2019;06;01;17;00;26.22;34.00;1019.40;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;59.43;693.31;8.40;43.26;9.22;38.66;5.24;15.95;7.92
2019;06;01;18;00;26.16;35.00;1019.10;0.00;0.00;0.00;0.00;2.40;8.00;0.00;0.00;59.62;566.93;10.30;36.47;11.98;32.74;5.00;30.26;9.00
2019;06;01;19;00;25.35;37.00;1018.90;0.00;0.00;0.00;0.00;2.70;9.00;0.00;0.00;58.47;420.97;10.88;34.22;13.48;34.11;7.20;53.13;10.08
2019;06;01;20;00;24.22;42.00;1019.00;0.00;0.00;0.00;0.00;1.50;5.00;0.00;0.00;58.28;264.33;8.89;31.76;13.28;32.83;10.59;54.69;11.16
2019;06;01;21;00;22.26;51.00;1019.10;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;59.04;105.91;7.20;36.87;12.39;35.54;11.20;45.00;9.00
2019;06;01;22;00;20.73;67.00;1019.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.49;2.67;4.10;37.87;9.73;38.99;9.59;34.29;7.56
2019;06;01;23;00;19.78;78.00;1019.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.08;90.00;5.62;39.81;6.76;25.20;4.68
2019;06;02;00;00;19.15;76.00;1019.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.32;167.47;1.30;123.69;3.88;21.80;2.16
2019;06;02;01;00;18.56;68.00;1020.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.09;171.87;3.96;180.00;0.80;26.57;1.44
2019;06;02;02;00;17.89;63.00;1020.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.76;180.00;5.86;190.62;2.19;189.46;2.88
2019;06;02;03;00;17.57;59.00;1019.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.90;187.13;4.32;180.00;2.62;195.95;3.96
2019;06;02;04;00;16.95;64.00;1019.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.80;192.99;5.59;194.93;2.41;206.57;4.68
2019;06;02;05;00;16.07;72.00;1019.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.35;199.65;5.12;230.71;1.94;201.80;5.40
